Original_sequence_ID	Protein	Count
Library005_barcode09_hap1_rep1_tig00000003	SRK_protein_139	108
Library005_barcode09_hap1_rep2_tig00000005	SRK_protein_139	108
Library005_barcode09_hap1_rep3_tig00000001	SRK_protein_135	20
Library005_barcode09_hap2_rep1_tig00000003	SRK_protein_139	108
Library005_barcode09_hap2_rep2_tig00000005	SRK_protein_139	108
Library005_barcode09_hap2_rep3_tig00000001	SRK_protein_135	20
Library005_barcode09_hap3_rep1_tig00000003	SRK_protein_139	108
Library005_barcode09_hap3_rep2_tig00000005	SRK_protein_139	108
Library005_barcode09_hap3_rep3_tig00000001	SRK_protein_135	20
Library005_barcode09_hap4_rep1_tig00000003	SRK_protein_139	108
Library005_barcode11_hap1_rep1_tig00000001	SRK_protein_123	64
Library005_barcode11_hap1_rep3_tig00000001	SRK_protein_123	64
Library005_barcode11_hap2_rep1_tig00000001	SRK_protein_123	64
Library005_barcode11_hap2_rep3_tig00000001	SRK_protein_123	64
Library005_barcode11_hap3_rep1_tig00000001	SRK_protein_123	64
Library005_barcode11_hap3_rep3_tig00000001	SRK_protein_123	64
Library005_barcode11_hap4_rep1_tig00000001	SRK_protein_123	64
Library005_barcode11_hap4_rep3_tig00000001	SRK_protein_123	64
Library005_barcode12_hap1_rep2_tig00000001	SRK_protein_150	142
Library005_barcode12_hap2_rep2_tig00000001	SRK_protein_150	142
Library005_barcode12_hap3_rep2_tig00000001	SRK_protein_150	142
Library005_barcode12_hap3_rep2_tig00000002	SRK_protein_123	64
Library005_barcode12_hap4_rep2_tig00000001	SRK_protein_150	142
Library005_barcode12_hap4_rep2_tig00000002	SRK_protein_123	64
Library005_barcode12_hap1_rep1_tig00000001	SRK_protein_122	16
Library005_barcode12_hap2_rep1_tig00000001	SRK_protein_122	16
Library005_barcode12_hap3_rep1_tig00000001	SRK_protein_122	16
Library005_barcode12_hap4_rep1_tig00000001	SRK_protein_122	16
Library005_barcode13_hap1_rep1_tig00000001	SRK_protein_151	10
Library005_barcode13_hap3_rep1_tig00000001	SRK_protein_151	10
Library005_barcode14_hap1_rep1_tig00000001	SRK_protein_137	50
Library005_barcode14_hap1_rep1_tig00000005	SRK_protein_152	18
Library005_barcode14_hap2_rep1_tig00000001	SRK_protein_137	50
Library005_barcode14_hap2_rep1_tig00000005	SRK_protein_152	18
Library005_barcode14_hap3_rep1_tig00000001	SRK_protein_137	50
Library005_barcode14_hap3_rep1_tig00000005	SRK_protein_152	18
Library005_barcode14_hap3_rep3_tig00000006	SRK_protein_035	59
Library005_barcode14_hap4_rep1_tig00000005	SRK_protein_152	18
Library005_barcode14_hap4_rep3_tig00000006	SRK_protein_035	59
Library005_barcode14_hap1_rep3_tig00000005	SRK_protein_137	50
Library005_barcode14_hap2_rep3_tig00000005	SRK_protein_137	50
Library005_barcode14_hap3_rep3_tig00000005	SRK_protein_137	50
Library005_barcode15_hap1_rep1_tig00000001	SRK_protein_139	108
Library005_barcode15_hap1_rep2_tig00000001	SRK_protein_139	108
Library005_barcode15_hap2_rep1_tig00000001	SRK_protein_139	108
Library005_barcode15_hap2_rep2_tig00000001	SRK_protein_139	108
Library005_barcode15_hap3_rep1_tig00000001	SRK_protein_139	108
Library005_barcode15_hap3_rep2_tig00000001	SRK_protein_139	108
Library005_barcode15_hap4_rep1_tig00000001	SRK_protein_139	108
Library005_barcode15_hap4_rep2_tig00000001	SRK_protein_139	108
Library005_barcode15_hap1_rep3_tig00000001	SRK_protein_139	108
Library005_barcode15_hap2_rep3_tig00000001	SRK_protein_139	108
Library005_barcode15_hap3_rep3_tig00000001	SRK_protein_139	108
Library005_barcode15_hap4_rep3_tig00000001	SRK_protein_139	108
Library005_barcode16_hap1_rep1_tig00000001	SRK_protein_151	10
Library005_barcode16_hap2_rep1_tig00000001	SRK_protein_151	10
Library005_barcode16_hap3_rep1_tig00000001	SRK_protein_151	10
Library005_barcode16_hap1_rep4_tig00000001	SRK_protein_153	40
Library005_barcode16_hap2_rep4_tig00000001	SRK_protein_153	40
Library005_barcode16_hap3_rep4_tig00000001	SRK_protein_153	40
Library005_barcode16_hap4_rep4_tig00000001	SRK_protein_153	40
Library005_barcode17_hap1_rep2_tig00000001	SRK_protein_056	71
Library005_barcode17_hap1_rep3_tig00000004	SRK_protein_154	6
Library005_barcode17_hap2_rep2_tig00000001	SRK_protein_056	71
Library005_barcode17_hap2_rep3_tig00000004	SRK_protein_154	6
Library005_barcode17_hap3_rep2_tig00000001	SRK_protein_056	71
Library005_barcode17_hap3_rep3_tig00000004	SRK_protein_154	6
Library005_barcode17_hap4_rep2_tig00000001	SRK_protein_056	71
Library005_barcode17_hap1_rep1_tig00000006	SRK_protein_035	59
Library005_barcode17_hap1_rep2_tig00000002	SRK_protein_056	71
Library005_barcode17_hap2_rep1_tig00000006	SRK_protein_035	59
Library005_barcode17_hap2_rep2_tig00000002	SRK_protein_056	71
Library005_barcode17_hap3_rep1_tig00000006	SRK_protein_035	59
Library005_barcode17_hap3_rep2_tig00000002	SRK_protein_056	71
Library005_barcode17_hap4_rep1_tig00000006	SRK_protein_035	59
Library005_barcode17_hap4_rep2_tig00000002	SRK_protein_056	71
Library005_barcode18_hap1_rep1_tig00000001	SRK_protein_155	8
Library005_barcode18_hap1_rep2_tig00000001	SRK_protein_133	65
Library005_barcode18_hap1_rep3_tig00000001	SRK_protein_133	65
Library005_barcode18_hap2_rep1_tig00000001	SRK_protein_155	8
Library005_barcode18_hap2_rep2_tig00000001	SRK_protein_133	65
Library005_barcode18_hap2_rep3_tig00000001	SRK_protein_133	65
Library005_barcode18_hap3_rep1_tig00000001	SRK_protein_155	8
Library005_barcode18_hap3_rep2_tig00000001	SRK_protein_133	65
Library005_barcode18_hap3_rep3_tig00000001	SRK_protein_133	65
Library005_barcode18_hap4_rep1_tig00000001	SRK_protein_155	8
Library005_barcode18_hap4_rep2_tig00000001	SRK_protein_133	65
Library005_barcode18_hap4_rep3_tig00000001	SRK_protein_133	65
Library005_barcode19_hap1_rep1_tig00000001	SRK_protein_123	64
Library005_barcode19_hap1_rep2_tig00000001	SRK_protein_123	64
Library005_barcode19_hap2_rep1_tig00000001	SRK_protein_123	64
Library005_barcode19_hap2_rep2_tig00000001	SRK_protein_123	64
Library005_barcode19_hap3_rep1_tig00000001	SRK_protein_123	64
Library005_barcode19_hap3_rep2_tig00000001	SRK_protein_123	64
Library005_barcode19_hap4_rep1_tig00000001	SRK_protein_123	64
Library005_barcode19_hap4_rep2_tig00000001	SRK_protein_123	64
Library005_barcode22_hap1_rep2_tig00000001	SRK_protein_161	8
Library005_barcode22_hap1_rep2_tig00000003	SRK_protein_162	16
Library005_barcode22_hap1_rep4_tig00000002	SRK_protein_163	8
Library005_barcode22_hap2_rep2_tig00000001	SRK_protein_161	8
Library005_barcode22_hap2_rep2_tig00000003	SRK_protein_162	16
Library005_barcode22_hap2_rep4_tig00000002	SRK_protein_163	8
Library005_barcode22_hap3_rep2_tig00000001	SRK_protein_161	8
Library005_barcode22_hap3_rep2_tig00000003	SRK_protein_162	16
Library005_barcode22_hap3_rep4_tig00000002	SRK_protein_163	8
Library005_barcode22_hap4_rep1_tig00000001	SRK_protein_164	18
Library005_barcode22_hap4_rep2_tig00000001	SRK_protein_161	8
Library005_barcode22_hap4_rep2_tig00000003	SRK_protein_162	16
Library005_barcode22_hap4_rep4_tig00000002	SRK_protein_163	8
Library005_barcode23_hap1_rep1_tig00000003	SRK_protein_118	74
Library005_barcode23_hap1_rep4_tig00000001	SRK_protein_118	74
Library005_barcode23_hap2_rep1_tig00000003	SRK_protein_118	74
Library005_barcode23_hap2_rep2_tig00000001	SRK_protein_037	34
Library005_barcode23_hap2_rep4_tig00000001	SRK_protein_118	74
Library005_barcode23_hap3_rep1_tig00000003	SRK_protein_118	74
Library005_barcode23_hap3_rep2_tig00000001	SRK_protein_037	34
Library005_barcode23_hap3_rep4_tig00000001	SRK_protein_118	74
Library005_barcode23_hap4_rep4_tig00000001	SRK_protein_118	74
Library005_barcode23_hap1_rep1_tig00000002	SRK_protein_165	8
Library005_barcode23_hap2_rep1_tig00000002	SRK_protein_165	8
Library005_barcode23_hap3_rep1_tig00000002	SRK_protein_165	8
Library005_barcode23_hap4_rep1_tig00000002	SRK_protein_165	8
Library005_barcode24_hap1_rep3_tig00000001	SRK_protein_166	8
Library005_barcode24_hap1_rep4_tig00000002	SRK_protein_167	12
Library005_barcode24_hap2_rep3_tig00000001	SRK_protein_166	8
Library005_barcode24_hap2_rep4_tig00000002	SRK_protein_167	12
Library005_barcode24_hap3_rep3_tig00000001	SRK_protein_166	8
Library005_barcode24_hap3_rep4_tig00000002	SRK_protein_167	12
Library005_barcode24_hap4_rep3_tig00000001	SRK_protein_166	8
Library005_barcode24_hap4_rep4_tig00000002	SRK_protein_167	12
Library005_barcode24_hap1_rep2_tig00000002	SRK_protein_168	24
Library005_barcode24_hap1_rep2_tig00000008	SRK_protein_118	74
Library005_barcode24_hap1_rep3_tig00000003	SRK_protein_118	74
Library005_barcode24_hap2_rep2_tig00000002	SRK_protein_168	24
Library005_barcode24_hap2_rep2_tig00000008	SRK_protein_118	74
Library005_barcode24_hap2_rep3_tig00000003	SRK_protein_118	74
Library005_barcode24_hap3_rep2_tig00000002	SRK_protein_168	24
Library005_barcode24_hap3_rep2_tig00000008	SRK_protein_118	74
Library005_barcode24_hap3_rep3_tig00000003	SRK_protein_118	74
Library005_barcode24_hap4_rep3_tig00000003	SRK_protein_118	74
Library005_barcode25_hap1_rep1_tig00000002	SRK_protein_167	12
Library005_barcode25_hap4_rep1_tig00000002	SRK_protein_167	12
Library005_barcode25_hap3_rep4_tig00000002	SRK_protein_118	74
Library005_barcode26_hap1_rep1_tig00000001	SRK_protein_118	74
Library005_barcode26_hap2_rep1_tig00000001	SRK_protein_118	74
Library005_barcode26_hap3_rep1_tig00000001	SRK_protein_118	74
Library005_barcode27_hap1_rep1_tig00000001	SRK_protein_081	224
Library005_barcode27_hap1_rep2_tig00000001	SRK_protein_081	224
Library005_barcode27_hap2_rep1_tig00000001	SRK_protein_081	224
Library005_barcode27_hap3_rep1_tig00000001	SRK_protein_081	224
Library005_barcode27_hap3_rep2_tig00000001	SRK_protein_081	224
Library005_barcode27_hap4_rep1_tig00000001	SRK_protein_081	224
Library005_barcode27_hap4_rep2_tig00000001	SRK_protein_081	224
Library005_barcode28_hap1_rep2_tig00000002	SRK_protein_130	30
Library005_barcode28_hap2_rep2_tig00000002	SRK_protein_130	30
Library005_barcode28_hap3_rep2_tig00000002	SRK_protein_130	30
Library005_barcode28_hap4_rep2_tig00000002	SRK_protein_130	30
Library005_barcode29_hap1_rep2_tig00000001	SRK_protein_169	8
Library005_barcode29_hap1_rep3_tig00000001	SRK_protein_081	224
Library005_barcode29_hap2_rep2_tig00000001	SRK_protein_169	8
Library005_barcode29_hap2_rep3_tig00000001	SRK_protein_081	224
Library005_barcode29_hap3_rep3_tig00000001	SRK_protein_081	224
Library005_barcode29_hap4_rep2_tig00000001	SRK_protein_081	224
Library005_barcode29_hap4_rep3_tig00000001	SRK_protein_081	224
Library005_barcode29_hap1_rep2_tig00000002	SRK_protein_081	224
Library005_barcode29_hap2_rep2_tig00000002	SRK_protein_081	224
Library005_barcode29_hap3_rep2_tig00000002	SRK_protein_081	224
Library005_barcode29_hap4_rep2_tig00000002	SRK_protein_081	224
Library005_barcode30_hap1_rep1_tig00000001	SRK_protein_081	224
Library005_barcode30_hap1_rep2_tig00000001	SRK_protein_169	8
Library005_barcode30_hap1_rep3_tig00000002	SRK_protein_081	224
Library005_barcode30_hap2_rep1_tig00000001	SRK_protein_081	224
Library005_barcode30_hap2_rep2_tig00000001	SRK_protein_169	8
Library005_barcode30_hap2_rep3_tig00000002	SRK_protein_081	224
Library005_barcode30_hap3_rep1_tig00000001	SRK_protein_081	224
Library005_barcode30_hap3_rep3_tig00000002	SRK_protein_081	224
Library005_barcode30_hap4_rep1_tig00000001	SRK_protein_081	224
Library005_barcode30_hap4_rep3_tig00000002	SRK_protein_081	224
Library005_barcode30_hap1_rep2_tig00000002	SRK_protein_081	224
Library005_barcode30_hap2_rep2_tig00000002	SRK_protein_081	224
Library005_barcode30_hap3_rep2_tig00000002	SRK_protein_081	224
Library005_barcode30_hap4_rep2_tig00000002	SRK_protein_081	224
Library005_barcode31_hap1_rep1_tig00000001	SRK_protein_020	100
Library005_barcode31_hap1_rep4_tig00000002	SRK_protein_020	100
Library005_barcode31_hap2_rep1_tig00000001	SRK_protein_020	100
Library005_barcode31_hap2_rep4_tig00000002	SRK_protein_020	100
Library005_barcode31_hap3_rep1_tig00000001	SRK_protein_020	100
Library005_barcode31_hap3_rep4_tig00000002	SRK_protein_020	100
Library005_barcode31_hap4_rep1_tig00000001	SRK_protein_020	100
Library005_barcode31_hap4_rep4_tig00000002	SRK_protein_020	100
Library005_barcode31_hap1_rep3_tig00000001	SRK_protein_170	6
Library005_barcode31_hap1_rep3_tig00000002	SRK_protein_020	100
Library005_barcode31_hap2_rep3_tig00000001	SRK_protein_170	6
Library005_barcode31_hap2_rep3_tig00000002	SRK_protein_020	100
Library005_barcode31_hap3_rep3_tig00000001	SRK_protein_170	6
Library005_barcode31_hap3_rep3_tig00000002	SRK_protein_020	100
Library005_barcode31_hap4_rep3_tig00000002	SRK_protein_020	100
Library005_barcode32_hap1_rep1_tig00000002	SRK_protein_171	12
Library005_barcode32_hap2_rep1_tig00000002	SRK_protein_171	12
Library005_barcode32_hap3_rep1_tig00000002	SRK_protein_171	12
Library005_barcode32_hap4_rep1_tig00000002	SRK_protein_171	12
Library005_barcode32_hap1_rep3_tig00000002	SRK_protein_171	12
Library005_barcode32_hap2_rep3_tig00000002	SRK_protein_171	12
Library005_barcode32_hap3_rep3_tig00000002	SRK_protein_171	12
Library005_barcode32_hap4_rep3_tig00000002	SRK_protein_171	12
Library005_barcode33_hap1_rep1_tig00000001	SRK_protein_172	6
Library005_barcode33_hap1_rep4_tig00000001	SRK_protein_173	8
Library005_barcode33_hap3_rep1_tig00000001	SRK_protein_172	6
Library005_barcode33_hap3_rep4_tig00000001	SRK_protein_173	8
Library005_barcode33_hap4_rep1_tig00000001	SRK_protein_172	6
Library005_barcode33_hap1_rep1_tig00000003	SRK_protein_174	18
Library005_barcode33_hap1_rep2_tig00000002	SRK_protein_174	18
Library005_barcode33_hap1_rep4_tig00000002	SRK_protein_175	16
Library005_barcode33_hap2_rep2_tig00000002	SRK_protein_174	18
Library005_barcode33_hap2_rep4_tig00000002	SRK_protein_175	16
Library005_barcode33_hap3_rep1_tig00000003	SRK_protein_174	18
Library005_barcode33_hap3_rep2_tig00000002	SRK_protein_174	18
Library005_barcode33_hap3_rep4_tig00000002	SRK_protein_175	16
Library005_barcode33_hap4_rep1_tig00000003	SRK_protein_174	18
Library005_barcode33_hap4_rep2_tig00000002	SRK_protein_174	18
Library005_barcode33_hap4_rep4_tig00000002	SRK_protein_175	16
Library005_barcode34_hap1_rep4_tig00000001	SRK_protein_081	224
Library005_barcode34_hap2_rep4_tig00000001	SRK_protein_081	224
Library005_barcode34_hap3_rep4_tig00000001	SRK_protein_081	224
Library005_barcode34_hap4_rep4_tig00000001	SRK_protein_081	224
Library005_barcode34_hap1_rep1_tig00000001	SRK_protein_081	224
Library005_barcode34_hap2_rep1_tig00000001	SRK_protein_081	224
Library005_barcode34_hap3_rep1_tig00000001	SRK_protein_081	224
Library005_barcode34_hap4_rep1_tig00000001	SRK_protein_081	224
Library005_barcode35_hap1_rep1_tig00000001	SRK_protein_050	115
Library005_barcode35_hap1_rep3_tig00000002	SRK_protein_176	21
Library005_barcode35_hap1_rep4_tig00000002	SRK_protein_177	20
Library005_barcode35_hap2_rep1_tig00000001	SRK_protein_050	115
Library005_barcode35_hap2_rep3_tig00000002	SRK_protein_176	21
Library005_barcode35_hap2_rep4_tig00000002	SRK_protein_177	20
Library005_barcode35_hap3_rep3_tig00000002	SRK_protein_176	21
Library005_barcode35_hap3_rep4_tig00000002	SRK_protein_177	20
Library005_barcode35_hap4_rep1_tig00000001	SRK_protein_176	21
Library005_barcode35_hap4_rep3_tig00000002	SRK_protein_176	21
Library005_barcode35_hap4_rep4_tig00000002	SRK_protein_177	20
Library005_barcode36_hap1_rep1_tig00000001	SRK_protein_178	6
Library005_barcode36_hap1_rep3_tig00000001	SRK_protein_162	16
Library005_barcode36_hap2_rep1_tig00000001	SRK_protein_178	6
Library005_barcode36_hap2_rep3_tig00000001	SRK_protein_162	16
Library005_barcode36_hap3_rep1_tig00000001	SRK_protein_178	6
Library005_barcode36_hap3_rep3_tig00000001	SRK_protein_162	16
Library005_barcode36_hap4_rep3_tig00000001	SRK_protein_162	16
Library005_barcode36_hap1_rep4_tig00000001	SRK_protein_164	18
Library005_barcode36_hap2_rep4_tig00000001	SRK_protein_164	18
Library005_barcode36_hap3_rep4_tig00000001	SRK_protein_164	18
Library005_barcode36_hap4_rep4_tig00000001	SRK_protein_164	18
Library006_barcode37_hap2_rep1_tig00000001	SRK_protein_179	15
Library006_barcode37_hap3_rep1_tig00000001	SRK_protein_179	15
Library006_barcode37_hap4_rep1_tig00000001	SRK_protein_050	115
Library006_barcode37_hap1_rep4_tig00000003	SRK_protein_180	8
Library006_barcode37_hap2_rep4_tig00000003	SRK_protein_180	8
Library006_barcode37_hap3_rep4_tig00000003	SRK_protein_180	8
Library006_barcode37_hap4_rep4_tig00000003	SRK_protein_180	8
Library006_barcode38_hap1_rep1_tig00000001	SRK_protein_181	16
Library006_barcode38_hap1_rep2_tig00000001	SRK_protein_182	16
Library006_barcode38_hap1_rep3_tig00000002	SRK_protein_183	6
Library006_barcode38_hap1_rep4_tig00000002	SRK_protein_184	6
Library006_barcode38_hap2_rep1_tig00000001	SRK_protein_181	16
Library006_barcode38_hap2_rep2_tig00000001	SRK_protein_182	16
Library006_barcode38_hap2_rep3_tig00000002	SRK_protein_183	6
Library006_barcode38_hap2_rep4_tig00000002	SRK_protein_184	6
Library006_barcode38_hap3_rep1_tig00000001	SRK_protein_181	16
Library006_barcode38_hap3_rep2_tig00000001	SRK_protein_182	16
Library006_barcode38_hap3_rep3_tig00000002	SRK_protein_183	6
Library006_barcode38_hap4_rep1_tig00000001	SRK_protein_181	16
Library006_barcode38_hap4_rep2_tig00000001	SRK_protein_182	16
Library006_barcode38_hap4_rep4_tig00000002	SRK_protein_184	6
Library006_barcode38_hap1_rep1_tig00000002	SRK_protein_181	16
Library006_barcode38_hap1_rep2_tig00000002	SRK_protein_182	16
Library006_barcode38_hap2_rep1_tig00000002	SRK_protein_181	16
Library006_barcode38_hap2_rep2_tig00000002	SRK_protein_182	16
Library006_barcode38_hap3_rep1_tig00000002	SRK_protein_181	16
Library006_barcode38_hap3_rep2_tig00000002	SRK_protein_182	16
Library006_barcode38_hap4_rep1_tig00000002	SRK_protein_181	16
Library006_barcode38_hap4_rep2_tig00000002	SRK_protein_182	16
Library006_barcode40_hap1_rep1_tig00000001	SRK_protein_192	21
Library006_barcode40_hap2_rep1_tig00000001	SRK_protein_192	21
Library006_barcode40_hap2_rep3_tig00000002	SRK_protein_193	11
Library006_barcode40_hap3_rep1_tig00000001	SRK_protein_192	21
Library006_barcode40_hap3_rep3_tig00000002	SRK_protein_193	11
Library006_barcode40_hap4_rep1_tig00000001	SRK_protein_192	21
Library006_barcode40_hap4_rep3_tig00000002	SRK_protein_193	11
Library006_barcode40_hap1_rep1_tig00000002	SRK_protein_192	21
Library006_barcode40_hap1_rep2_tig00000001	SRK_protein_192	21
Library006_barcode40_hap1_rep3_tig00000001	SRK_protein_193	11
Library006_barcode40_hap1_rep4_tig00000001	SRK_protein_194	5
Library006_barcode40_hap2_rep1_tig00000002	SRK_protein_192	21
Library006_barcode40_hap2_rep2_tig00000001	SRK_protein_192	21
Library006_barcode40_hap2_rep3_tig00000001	SRK_protein_193	11
Library006_barcode40_hap2_rep4_tig00000001	SRK_protein_194	5
Library006_barcode40_hap3_rep2_tig00000001	SRK_protein_192	21
Library006_barcode40_hap3_rep3_tig00000001	SRK_protein_193	11
Library006_barcode40_hap4_rep2_tig00000001	SRK_protein_192	21
Library006_barcode40_hap4_rep3_tig00000001	SRK_protein_193	11
Library006_barcode40_hap4_rep4_tig00000001	SRK_protein_194	5
Library006_barcode41_hap1_rep2_tig00000001	SRK_protein_192	21
Library006_barcode41_hap2_rep2_tig00000001	SRK_protein_192	21
Library006_barcode41_hap3_rep2_tig00000001	SRK_protein_192	21
Library006_barcode41_hap4_rep2_tig00000001	SRK_protein_192	21
Library006_barcode41_hap1_rep3_tig00000001	SRK_protein_193	11
Library006_barcode41_hap2_rep3_tig00000001	SRK_protein_193	11
Library006_barcode41_hap3_rep3_tig00000001	SRK_protein_193	11
Library006_barcode41_hap4_rep3_tig00000001	SRK_protein_193	11
Library006_barcode42_hap1_rep1_tig00000001	SRK_protein_145	80
Library006_barcode42_hap1_rep2_tig00000001	SRK_protein_150	142
Library006_barcode42_hap2_rep1_tig00000001	SRK_protein_145	80
Library006_barcode42_hap2_rep2_tig00000001	SRK_protein_150	142
Library006_barcode42_hap3_rep1_tig00000001	SRK_protein_145	80
Library006_barcode42_hap3_rep2_tig00000001	SRK_protein_150	142
Library006_barcode42_hap4_rep1_tig00000001	SRK_protein_145	80
Library006_barcode42_hap4_rep2_tig00000001	SRK_protein_150	142
Library006_barcode43_hap1_rep2_tig00000002	SRK_protein_153	40
Library006_barcode43_hap2_rep2_tig00000002	SRK_protein_153	40
Library006_barcode43_hap3_rep2_tig00000002	SRK_protein_153	40
Library006_barcode43_hap4_rep2_tig00000002	SRK_protein_153	40
Library006_barcode44_hap1_rep2_tig00000001	SRK_protein_195	16
Library006_barcode44_hap1_rep3_tig00000002	SRK_protein_195	16
Library006_barcode44_hap1_rep4_tig00000002	SRK_protein_196	8
Library006_barcode44_hap2_rep2_tig00000001	SRK_protein_195	16
Library006_barcode44_hap2_rep2_tig00000002	SRK_protein_197	6
Library006_barcode44_hap2_rep3_tig00000002	SRK_protein_195	16
Library006_barcode44_hap2_rep4_tig00000002	SRK_protein_196	8
Library006_barcode44_hap3_rep2_tig00000001	SRK_protein_195	16
Library006_barcode44_hap3_rep2_tig00000002	SRK_protein_197	6
Library006_barcode44_hap3_rep3_tig00000002	SRK_protein_195	16
Library006_barcode44_hap3_rep4_tig00000002	SRK_protein_196	8
Library006_barcode44_hap4_rep2_tig00000001	SRK_protein_195	16
Library006_barcode44_hap4_rep2_tig00000002	SRK_protein_197	6
Library006_barcode44_hap4_rep3_tig00000002	SRK_protein_195	16
Library006_barcode44_hap4_rep4_tig00000002	SRK_protein_196	8
Library006_barcode45_hap1_rep1_tig00000001	SRK_protein_198	5
Library006_barcode45_hap3_rep1_tig00000001	SRK_protein_198	5
Library006_barcode46_hap1_rep4_tig00000001	SRK_protein_199	8
Library006_barcode46_hap2_rep4_tig00000001	SRK_protein_199	8
Library006_barcode46_hap3_rep4_tig00000001	SRK_protein_199	8
Library006_barcode46_hap4_rep4_tig00000001	SRK_protein_199	8
Library006_barcode46_hap1_rep2_tig00000001	SRK_protein_199	8
Library006_barcode46_hap2_rep2_tig00000001	SRK_protein_199	8
Library006_barcode46_hap3_rep2_tig00000001	SRK_protein_199	8
Library006_barcode46_hap4_rep2_tig00000001	SRK_protein_199	8
Library006_barcode47_hap1_rep1_tig00000001	SRK_protein_200	43
Library006_barcode47_hap1_rep2_tig00000001	SRK_protein_200	43
Library006_barcode47_hap2_rep1_tig00000001	SRK_protein_200	43
Library006_barcode47_hap2_rep2_tig00000001	SRK_protein_200	43
Library006_barcode47_hap3_rep1_tig00000001	SRK_protein_200	43
Library006_barcode47_hap3_rep2_tig00000001	SRK_protein_200	43
Library006_barcode47_hap4_rep1_tig00000001	SRK_protein_200	43
Library006_barcode47_hap4_rep2_tig00000001	SRK_protein_200	43
Library006_barcode48_hap1_rep1_tig00000002	SRK_protein_201	32
Library006_barcode48_hap1_rep4_tig00000001	SRK_protein_201	32
Library006_barcode48_hap2_rep1_tig00000002	SRK_protein_201	32
Library006_barcode48_hap2_rep4_tig00000001	SRK_protein_201	32
Library006_barcode48_hap3_rep1_tig00000002	SRK_protein_201	32
Library006_barcode48_hap3_rep4_tig00000001	SRK_protein_201	32
Library006_barcode48_hap4_rep1_tig00000002	SRK_protein_201	32
Library006_barcode48_hap4_rep4_tig00000001	SRK_protein_201	32
Library006_barcode49_hap1_rep3_tig00000001	SRK_protein_202	8
Library006_barcode49_hap1_rep4_tig00000001	SRK_protein_203	6
Library006_barcode49_hap2_rep3_tig00000001	SRK_protein_202	8
Library006_barcode49_hap2_rep4_tig00000001	SRK_protein_203	6
Library006_barcode49_hap3_rep3_tig00000001	SRK_protein_202	8
Library006_barcode49_hap4_rep3_tig00000001	SRK_protein_202	8
Library006_barcode49_hap4_rep4_tig00000001	SRK_protein_203	6
Library006_barcode49_hap1_rep1_tig00000001	SRK_protein_204	28
Library006_barcode49_hap2_rep1_tig00000001	SRK_protein_204	28
Library006_barcode49_hap3_rep1_tig00000001	SRK_protein_204	28
Library006_barcode49_hap4_rep1_tig00000001	SRK_protein_204	28
Library006_barcode50_hap1_rep4_tig00000001	SRK_protein_120	37
Library006_barcode50_hap2_rep4_tig00000001	SRK_protein_120	37
Library006_barcode50_hap3_rep4_tig00000001	SRK_protein_120	37
Library006_barcode50_hap4_rep4_tig00000001	SRK_protein_120	37
Library006_barcode51_hap1_rep3_tig00000003	SRK_protein_002	115
Library006_barcode51_hap2_rep3_tig00000003	SRK_protein_002	115
Library006_barcode51_hap3_rep3_tig00000003	SRK_protein_002	115
Library006_barcode51_hap4_rep3_tig00000003	SRK_protein_002	115
Library006_barcode52_hap1_rep4_tig00000002	SRK_protein_021	12
Library006_barcode52_hap2_rep4_tig00000002	SRK_protein_021	12
Library006_barcode52_hap3_rep4_tig00000002	SRK_protein_021	12
Library006_barcode53_hap1_rep1_tig00000001	SRK_protein_179	15
Library006_barcode53_hap1_rep2_tig00000001	SRK_protein_179	15
Library006_barcode53_hap2_rep2_tig00000001	SRK_protein_179	15
Library006_barcode53_hap3_rep1_tig00000001	SRK_protein_179	15
Library006_barcode53_hap3_rep2_tig00000001	SRK_protein_179	15
Library006_barcode53_hap4_rep1_tig00000001	SRK_protein_179	15
Library006_barcode53_hap4_rep2_tig00000001	SRK_protein_179	15
Library006_barcode54_hap1_rep2_tig00000003	SRK_protein_205	20
Library006_barcode54_hap1_rep3_tig00000001	SRK_protein_206	8
Library006_barcode54_hap2_rep2_tig00000003	SRK_protein_205	20
Library006_barcode54_hap2_rep3_tig00000001	SRK_protein_206	8
Library006_barcode54_hap3_rep2_tig00000003	SRK_protein_205	20
Library006_barcode54_hap3_rep3_tig00000001	SRK_protein_206	8
Library006_barcode54_hap4_rep2_tig00000003	SRK_protein_205	20
Library006_barcode54_hap4_rep3_tig00000001	SRK_protein_206	8
Library006_barcode54_hap1_rep1_tig00000002	SRK_protein_207	8
Library006_barcode54_hap1_rep2_tig00000001	SRK_protein_208	16
Library006_barcode54_hap1_rep3_tig00000002	SRK_protein_208	16
Library006_barcode54_hap1_rep4_tig00000001	SRK_protein_205	20
Library006_barcode54_hap2_rep1_tig00000002	SRK_protein_207	8
Library006_barcode54_hap2_rep2_tig00000001	SRK_protein_208	16
Library006_barcode54_hap2_rep3_tig00000002	SRK_protein_208	16
Library006_barcode54_hap2_rep4_tig00000001	SRK_protein_205	20
Library006_barcode54_hap3_rep1_tig00000002	SRK_protein_207	8
Library006_barcode54_hap3_rep2_tig00000001	SRK_protein_205	20
Library006_barcode54_hap3_rep3_tig00000002	SRK_protein_208	16
Library006_barcode54_hap3_rep4_tig00000001	SRK_protein_205	20
Library006_barcode54_hap4_rep1_tig00000002	SRK_protein_207	8
